
metadata
ID	name	desc	time	keywords	minlat	minlon	maxlat	maxlon	
1			2017-11-11T16:04:42Z		50.082763032987714	19.850719040259719	50.083149019628763	19.854347985237837	

author
ID	name	email	

copyright
year	license	author	

link
metadataID	authorID	wptID	rteptID	trkptID	rteID	trkID	text	type	href	
1							"Garmin International"		http://www.garmin.com	

rte
ID	name	cmt	desc	src	number	type	IsAutoNamed	DisplayColor	TransportationMode	TripName	Date	DayNumber	

rtept
ID	rteID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	DepartureTime	StopDuration	ArrivalTime	CalculationMode	ElevationMode	NamedRoad_Name	NamedRoad_Id	NamedRoad_ProductId	TransportationMode	

wpt
ID	lat	lon	ele	time	magvar	geoidheight	name	cmt	desc	src	sym	type	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	Proximity	Temperature	Depth	DisplayMode	Samples	Expiration	CreationTime	
28	50.082857999950647	19.850736977532506	191.45190400000001	2017-10-11T10:49:35Z			"13944128!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:49:35Z	
29	50.082848025485873	19.850734965875745	191.3647	2017-10-11T10:49:52Z			"13944129!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:49:52Z	
30	50.082848025485873	19.85072398558259	190.603714	2017-10-11T10:50:11Z			"13944130!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:50:11Z	
31	50.082845008000731	19.850719962269068	191.01591500000001	2017-10-11T10:50:25Z			"13944131!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:50:25Z	
32	50.082845008000731	19.850739995017648	191.38848899999999	2017-10-11T10:50:55Z			"13944132!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:50:55Z	
33	50.082836961373687	19.850732032209635	191.76370199999999	2017-10-11T10:51:09Z			"13944133!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:51:09Z	
34	50.082838973030448	19.850730020552874	191.32856799999999	2017-10-11T10:51:25Z			"13944134!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:51:25Z	
35	50.082850959151983	19.850730020552874	191.20942700000001	2017-10-11T10:51:39Z			"13944135!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:51:39Z	
36	50.082848025485873	19.850737983360887	190.91287199999999	2017-10-11T10:51:54Z			"13944136!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:51:54Z	
37	50.082846013829112	19.850720968097448	190.96043399999999	2017-10-11T10:52:10Z			"13944137!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:52:10Z	
38	50.082846013829112	19.850725997239351	190.830963	2017-10-11T10:52:22Z			"13944138!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:52:22Z	
39	50.082847019657493	19.850728008896112	191.26165800000001	2017-10-11T10:52:36Z			"13944139!"				"Flag, Blue"	"user"											SymbolAndName			2017-10-11T10:52:36Z	
